,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6141,ref-sifra.1.3.8-ref-sifra.1.3.18,ref-bible.0104.12.14.5-ref-bible.0104.12.14.15,717,773,108,118,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00018,282733,282788,47675,47685,ref-bible.00104.00012.00014.00005,ref-bible.00104.00012.00014.00015,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים ,ref-bible
6142,ref-sifra.1.3.32-ref-sifra.1.3.39,ref-bible.0104.12.14.17-ref-bible.0104.12.15.6,840,882,130,137,ref-sifra.00001.00003.00032,ref-sifra.00001.00003.00039,282795,282846,47687,47695,ref-bible.00104.00012.00014.00017,ref-bible.00104.00012.00015.00006,תסגר מרי' שבעת ימים מחוץ למחנה ואחר תאסף ,למחנה ואחר תאסף ותסגר מרים מחוץ למחנה שבעת ימים ,ref-bible
6143,ref-sifra.1.8.9-ref-sifra.1.8.17,ref-bible.0102.22.9.6-ref-bible.0102.22.9.13,1715,1752,285,293,ref-sifra.00001.00008.00009,ref-sifra.00001.00008.00017,149120,149152,26291,26298,ref-bible.00102.00022.00009.00006,ref-bible.00102.00022.00009.00013,חמור או שור או שה פרט וכל בהמה לשמור ,חמור או שור או שה וכל בהמה לשמר ,ref-bible
6144,ref-sifra.1.9.5-ref-sifra.1.9.20,ref-bible.0105.14.26.1-ref-bible.0105.14.26.14,1814,1899,306,321,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00020,370627,370706,61952,61965,ref-bible.00105.00014.00026.00001,ref-bible.00105.00014.00026.00014,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך ,ונתתה הכסף בכל אשר תאוה נפשך בבקר ובצאן וביין ובשכר ובכל אשר תשאלך נפשך ,ref-bible
6145,ref-sifra.1.11.21-ref-sifra.1.11.32,ref-bible.0103.7.20.1-ref-bible.0103.7.21.1,2422,2491,415,426,ref-sifra.00001.00011.00021,ref-sifra.00001.00011.00032,202718,202804,35142,35153,ref-bible.00103.00007.00020.00001,ref-bible.00103.00007.00021.00001,והנפש אשר תאכל בשר מזבח השלמים אשר ליי' וטמאתו עליו ונכרתה הנפש ,והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה_הנפש_ההוא_מעמיה ונפש ,ref-bible
6146,ref-sifra.1.11.41-ref-sifra.1.11.49,ref-bible.0103.7.37.1-ref-bible.0103.7.37.9,2537,2600,435,443,ref-sifra.00001.00011.00041,ref-sifra.00001.00011.00049,203843,203906,35313,35321,ref-bible.00103.00007.00037.00001,ref-bible.00103.00007.00037.00009,זאת התורה לעולה ולמנחה לחטאת ולאשם ולמלוא' ולזבח השלמים ,זאת התורה לעלה למנחה ולחטאת ולאשם ולמלואים ולזבח השלמים ,ref-bible
6147,ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.14.13.1-ref-bible.0103.14.13.17,3512,3616,591,607,ref-sifra.00001.00014.00022,ref-sifra.00001.00014.00041,219267,219354,37889,37903,ref-bible.00103.00014.00013.00001,ref-bible.00103.00014.00013.00017,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,ושחט את הכבש במקום אשר ישחט את החטאת ואת העלה במקום הקדש כי כחטאת האשם הוא לכהן ,ref-bible
6148,ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.4.24.6-ref-bible.0103.4.25.2,3512,3616,591,607,ref-sifra.00001.00014.00022,ref-sifra.00001.00014.00041,196868,196931,34151,34162,ref-bible.00103.00004.00024.00006,ref-bible.00103.00004.00025.00002,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,ושחט אתו במקום אשר ישחט את העלה לפני יהוה חטאת הוא ולקח הכהן ,ref-bible
6149,ref-sifra.1.14.22-ref-sifra.1.14.31,ref-bible.0103.4.33.7-ref-bible.0103.4.33.14,3512,3563,591,598,ref-sifra.00001.00014.00022,ref-sifra.00001.00014.00031,197561,197600,34257,34263,ref-bible.00103.00004.00033.00007,ref-bible.00103.00004.00033.00014,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה ,ושחט אתה לחטאת במקום אשר ישחט את העלה ,ref-bible
6150,ref-sifra.1.14.25-ref-sifra.1.14.41,ref-bible.0103.6.18.10-ref-bible.0103.6.19.6,3527,3616,593,607,ref-sifra.00001.00014.00025,ref-sifra.00001.00014.00041,201142,201231,34870,34884,ref-bible.00103.00006.00018.00010,ref-bible.00103.00006.00019.00006,במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,במקום אשר תשחט העלה תשחט החטאת לפני יהוה קדש_קדשים_הוא הכהן המחטא אתה יאכלנה במקום קדש ,ref-bible
6151,ref-sifra.1.15.20-ref-sifra.1.15.27,ref-bible.0103.13.42.1-ref-bible.0103.13.42.8,3945,3985,669,676,ref-sifra.00001.00015.00020,ref-sifra.00001.00015.00027,216821,216861,37444,37451,ref-bible.00103.00013.00042.00001,ref-bible.00103.00013.00042.00008,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,ref-bible
6152,ref-sifra.1.15.22-ref-sifra.1.15.27,ref-bible.0103.13.42.12-ref-bible.0103.13.43.8,3955,3985,671,676,ref-sifra.00001.00015.00022,ref-sifra.00001.00015.00027,216876,216939,37455,37465,ref-bible.00103.00013.00042.00012,ref-bible.00103.00013.00043.00008,בקרחת או בגבחת נגע לבן אדמדם ,בקרחתו או בגבחתו וראה אתו הכהן והנה שאת הנגע לבנה אדמדמת ,ref-bible
6153,ref-sifra.1.16.12-ref-sifra.1.16.39,ref-bible.0103.14.44.12-ref-bible.0103.14.45.11,4107,4247,699,722,ref-sifra.00001.00016.00012,ref-sifra.00001.00016.00039,221727,221786,38295,38305,ref-bible.00103.00014.00044.00012,ref-bible.00103.00014.00045.00011,בית שיש בו אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,טמא הוא ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,ref-bible
6154,ref-sifra.1.17.27-ref-sifra.1.17.32,ref-bible.0105.4.36.1-ref-bible.0105.4.36.6,4439,4469,759,762,ref-sifra.00001.00017.00027,ref-sifra.00001.00017.00032,348947,348977,58525,58528,ref-bible.00105.00004.00036.00001,ref-bible.00105.00004.00036.00006,מן השמים השמיעך את קולו ליסרך ,מן השמים השמיעך את קלו ליסרך ,ref-bible
6155,ref-sifra.1.17.71-ref-sifra.1.17.76,ref-bible.0204.22.10.1-ref-bible.0204.22.10.6,4670,4702,794,799,ref-sifra.00001.00017.00071,ref-sifra.00001.00017.00076,637994,638026,107845,107850,ref-bible.00204.00022.00010.00001,ref-bible.00204.00022.00010.00006,ויט שמים וירד וערפל תחת רגליו ,ויט שמים וירד וערפל תחת רגליו ,ref-bible
6156,ref-sifra.1.17.71-ref-sifra.1.17.76,ref-bible.0301.18.10.1-ref-bible.0301.18.10.6,4670,4702,794,799,ref-sifra.00001.00017.00071,ref-sifra.00001.00017.00076,1161079,1161111,196659,196664,ref-bible.00301.00018.00010.00001,ref-bible.00301.00018.00010.00006,ויט שמים וירד וערפל תחת רגליו ,ויט שמים וירד וערפל תחת רגליו ,ref-bible
6157,ref-sifra.1.18.14-ref-sifra.1.18.25,ref-bible.0102.40.35.1-ref-bible.0102.40.35.11,4936,4989,840,849,ref-sifra.00001.00018.00014,ref-sifra.00001.00018.00025,191286,191333,33287,33295,ref-bible.00102.00040.00035.00001,ref-bible.00102.00040.00035.00011,ולא יכול משח לבא אל_אהל_מועד הכריע כי שכן עליו הענן ,ולא יכל משה לבוא אל_אהל_מועד כי שכן עליו הענן ,ref-bible
6158,ref-sifra.1.18.51-ref-sifra.1.18.60,ref-bible.0205.8.11.1-ref-bible.0205.8.11.10,5109,5160,868,877,ref-sifra.00001.00018.00051,ref-sifra.00001.00018.00060,666847,666897,112873,112882,ref-bible.00205.00008.00011.00001,ref-bible.00205.00008.00011.00010,ולא יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,ולא יכלו הכהנים לעמד לשרת מפני הענן כי מלא כבוד ,ref-bible
6159,ref-sifra.1.18.52-ref-sifra.1.18.60,ref-bible.0313.5.14.2-ref-bible.0313.5.14.10,5114,5160,869,877,ref-sifra.00001.00018.00052,ref-sifra.00001.00018.00060,1523092,1523138,261637,261645,ref-bible.00313.00005.00014.00002,ref-bible.00313.00005.00014.00010,יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,ref-bible
6160,ref-sifra.1.18.73-ref-sifra.1.18.77,ref-bible.0102.33.22.7-ref-bible.0102.33.22.11,5222,5246,889,893,ref-sifra.00001.00018.00073,ref-sifra.00001.00018.00077,174456,174479,30582,30586,ref-bible.00102.00033.00022.00007,ref-bible.00102.00033.00022.00011,ושכותי כפי עליך עד עברי ,ושכתי כפי עליך עד עברי ,ref-bible
6161,ref-sifra.1.18.86-ref-sifra.1.18.92,ref-bible.0301.95.11.1-ref-bible.0301.95.11.7,5295,5330,902,908,ref-sifra.00001.00018.00086,ref-sifra.00001.00018.00092,1219448,1219482,207491,207497,ref-bible.00301.00095.00011.00001,ref-bible.00301.00095.00011.00007,אשר נשבעתי באפי אם יבואון אל מנוחתי ,אשר נשבעתי באפי אם יבאון אל מנוחתי ,ref-bible
6162,ref-sifra.2.01-01.10.9-ref-sifra.2.01-01.10.24,ref-bible.0102.3.4.6-ref-bible.0102.3.5.1,6846,6935,1138,1149,ref-sifra.00002.01-01.00010.00009,ref-sifra.00002.01-01.00010.00024,109008,109069,19488,19498,ref-bible.00102.00003.00004.00006,ref-bible.00102.00003.00005.00001,ויקרא אליו אלקים מתוך הסנה ויאמר משה משה שאין_תלמוד_לומר ויאמר ומה_תלמוד_לומר ויאמר ,ויקרא אליו אלהים מתוך הסנה ויאמר משה משה ויאמר הנני ויאמר ,ref-bible
6163,ref-sifra.2.01-02.3.4-ref-sifra.2.01-02.3.13,ref-bible.0102.31.18.2-ref-bible.0102.31.18.11,7494,7542,1228,1237,ref-sifra.00002.01-02.00003.00004,ref-sifra.00002.01-02.00003.00013,169933,169978,29806,29815,ref-bible.00102.00031.00018.00002,ref-bible.00102.00031.00018.00011,מדברות הר סיני באהל מועד מהו אומר וירקא אל משה ,אל משה ככלתו לדבר אתו בהר סיני שני לחת העדת ,ref-bible
6164,ref-sifra.2.01-02.4.35-ref-sifra.2.01-02.4.74,ref-bible.0102.31.18.2-ref-bible.0102.31.18.11,7721,7855,1263,1284,ref-sifra.00002.01-02.00004.00035,ref-sifra.00002.01-02.00004.00074,169933,169978,29806,29815,ref-bible.00102.00031.00018.00002,ref-bible.00102.00031.00018.00011,מדברות ארץ מצרים בהר סיני מהו אומר            מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר     מיעט את אהרן מדברות אהל מועד אל משה ,אל משה ככלתו לדבר אתו בהר סיני שני לחת העדת ,ref-bible
6165,ref-sifra.2.01-02.5.35-ref-sifra.2.01-02.5.47,ref-bible.0102.29.42.10-ref-bible.0102.29.43.1,8021,8068,1312,1318,ref-sifra.00002.01-02.00005.00035,ref-sifra.00002.01-02.00005.00047,166207,166240,29191,29197,ref-bible.00102.00029.00042.00010,ref-bible.00102.00029.00043.00001,להם יעידה לדברות תלמוד לומר      לך היתה יעידה ,אועד לכם שמה לדבר אליך שם ונעדתי ,ref-bible
6166,ref-sifra.2.01-02.12.8-ref-sifra.2.01-02.12.21,ref-bible.0104.7.89.13-ref-bible.0104.7.89.21,9495,9572,1513,1525,ref-sifra.00002.01-02.00012.00008,ref-sifra.00002.01-02.00012.00021,273341,273384,46157,46165,ref-bible.00104.00007.00089.00013,ref-bible.00104.00007.00089.00021,מעל הכפורת אי מעל הכפורת יכול מעל הכפורת כולה תלמוד לומר מבין שני הכרובים ,מעל הכפרת אשר על ארן העדת מבין שני הכרבים ,ref-bible
6167,ref-sifra.2.01-02.12.14-ref-sifra.2.01-02.12.21,ref-bible.0102.25.22.6-ref-bible.0102.25.22.10,9527,9572,1519,1525,ref-sifra.00002.01-02.00012.00014,ref-sifra.00002.01-02.00012.00021,154707,154734,27288,27292,ref-bible.00102.00025.00022.00006,ref-bible.00102.00025.00022.00010,מעל הכפורת כולה תלמוד לומר מבין שני הכרובים ,מעל הכפרת מבין שני הכרבים ,ref-bible
6168,ref-sifra.2.01-02.12.60-ref-sifra.2.01-02.12.65,ref-bible.0104.7.89.11-ref-bible.0104.7.89.21,9761,9795,1554,1559,ref-sifra.00002.01-02.00012.00060,ref-sifra.00002.01-02.00012.00065,273331,273384,46155,46165,ref-bible.00104.00007.00089.00011,ref-bible.00104.00007.00089.00021,מדבר מעל הכפורת מבין שני הכרובים ,מדבר אליו מעל הכפרת אשר על ארן העדת מבין שני הכרבים ,ref-bible
6169,ref-sifra.2.01-02.12.60-ref-sifra.2.01-02.12.65,ref-bible.0102.25.22.4-ref-bible.0102.25.22.10,9761,9795,1554,1559,ref-sifra.00002.01-02.00012.00060,ref-sifra.00002.01-02.00012.00065,154695,154734,27286,27292,ref-bible.00102.00025.00022.00004,ref-bible.00102.00025.00022.00010,מדבר מעל הכפורת מבין שני הכרובים ,ודברתי אתך מעל הכפרת מבין שני הכרבים ,ref-bible
6170,ref-sifra.2.01-02.13.19-ref-sifra.2.01-02.13.26,ref-bible.0201.4.10.16-ref-bible.0201.4.11.4,10202,10238,1622,1629,ref-sifra.00002.01-02.00013.00019,ref-sifra.00002.01-02.00013.00026,417164,417240,69787,69799,ref-bible.00201.00004.00010.00016,ref-bible.00201.00004.00011.00004,מדבר עם משה שנאמר ויהי כאשר תמו כל ,לדבר אל העם ככל_אשר_צוה משה את יהושע וימהרו העם ויעברו ויהי כאשר תם כל ,ref-bible
6171,ref-sifra.2.01-02.13.23-ref-sifra.2.01-02.13.29,ref-bible.0105.2.16.1-ref-bible.0105.2.16.7,10221,10256,1626,1632,ref-sifra.00002.01-02.00013.00023,ref-sifra.00002.01-02.00013.00029,341863,341898,57343,57349,ref-bible.00105.00002.00016.00001,ref-bible.00105.00002.00016.00007,ויהי כאשר תמו כל אנשי המלחמה למות ,ויהי כאשר תמו כל אנשי המלחמה למות ,ref-bible
6172,ref-sifra.2.02-00.6.11-ref-sifra.2.02-00.6.19,ref-bible.0105.14.4.1-ref-bible.0105.14.5.3,13196,13241,2067,2075,ref-sifra.00002.02-00.00006.00011,ref-sifra.00002.02-00.00006.00019,369354,369415,61744,61755,ref-bible.00105.00014.00004.00001,ref-bible.00105.00014.00005.00003,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,זאת הבהמה אשר תאכלו שור שה כשבים ושה עזים איל וצבי ויחמור ,ref-bible
6173,ref-sifra.2.02-00.9.41-ref-sifra.2.02-00.9.54,ref-bible.0105.7.25.5-ref-bible.0105.7.25.11,14563,14632,2278,2291,ref-sifra.00002.02-00.00009.00041,ref-sifra.00002.02-00.00009.00054,356159,356192,59666,59672,ref-bible.00105.00007.00025.00005,ref-bible.00105.00007.00025.00011,לא תחמד כסף וזהב עליה ואני אקיימנו לא תחמד כסף וזהב עליה ולקחת לן ,לא תחמד כסף וזהב עליהם ולקחת לך ,ref-bible
6174,ref-sifra.2.03-04.5.6-ref-sifra.2.03-04.5.20,ref-bible.0204.13.9.9-ref-bible.0204.13.10.5,22424,22497,3347,3357,ref-sifra.00002.03-04.00005.00006,ref-sifra.00002.03-04.00005.00020,612171,612241,103244,103257,ref-bible.00204.00013.00009.00009,ref-bible.00204.00013.00010.00005,עולת הצאן מנין_ודין_הוא_נאמר_הבא עולה מן הבקר ונאמר הבא עולה מן הצאן ,אמנון הוציאו כל איש מעלי ויצאו כל איש מעליו ויאמר אמנון אל תמר הביאי ,ref-bible
6175,ref-sifra.2.03-04.9.39-ref-sifra.2.03-04.9.53,ref-bible.0103.19.7.6-ref-bible.0103.19.8.3,23283,23350,3488,3501,ref-sifra.00002.03-04.00009.00039,ref-sifra.00002.03-04.00009.00053,230937,230970,39846,39851,ref-bible.00103.00019.00007.00006,ref-bible.00103.00019.00008.00003,פיגול הוא לא יחשב' אם עון נותר כבר נאמר לא ירצה ואיזה עון הוא נושא ,פגול הוא לא ירצה ואכליו עונו ישא ,ref-bible
6176,ref-sifra.2.04-00.2.26-ref-sifra.2.04-00.2.42,ref-bible.0102.28.1.7-ref-bible.0102.28.1.21,24051,24145,3604,3618,ref-sifra.00002.04-00.00002.00026,ref-sifra.00002.04-00.00002.00042,160018,160097,28161,28173,ref-bible.00102.00028.00001.00007,ref-bible.00102.00028.00001.00021,ואתה ובניך אתך תשמרו את כהנתכם לכל דבר המזבח יכול אף לשחיטה כשהוא אומר והקריבו בני אהרן ,ואת בניו אתו מתוך_בני_ישראל לכהנו לי אהרן נדב ואביהוא אלעזר ואיתמר בני אהרן ,ref-bible
6177,ref-sifra.2.04-00.2.27-ref-sifra.2.04-00.2.34,ref-bible.0104.18.7.2-ref-bible.0104.18.7.9,24057,24099,3605,3610,ref-sifra.00002.04-00.00002.00027,ref-sifra.00002.04-00.00002.00034,295783,295825,49825,49830,ref-bible.00104.00018.00007.00002,ref-bible.00104.00018.00007.00009,ובניך אתך תשמרו את כהנתכם לכל דבר המזבח ,ובניך אתך תשמרו את כהנתכם לכל דבר המזבח ,ref-bible
6178,ref-sifra.2.04-00.14.27-ref-sifra.2.04-00.14.43,ref-bible.0102.30.18.7-ref-bible.0102.30.18.14,27152,27235,4092,4106,ref-sifra.00002.04-00.00014.00027,ref-sifra.00002.04-00.00014.00043,167658,167699,29426,29433,ref-bible.00102.00030.00018.00007,ref-bible.00102.00030.00018.00014,ונתת את  בין אהל מועד ובין המזבח יכול בין אהל מועד ובין המזבח יהיה הכיור נתון ,ונתת אתו בין אהל מועד ובין המזבח ונתת ,ref-bible
6179,ref-sifra.2.04-00.14.27-ref-sifra.2.04-00.14.43,ref-bible.0102.40.7.1-ref-bible.0102.40.7.9,27152,27235,4092,4106,ref-sifra.00002.04-00.00014.00027,ref-sifra.00002.04-00.00014.00043,189621,189666,33042,33049,ref-bible.00102.00040.00007.00001,ref-bible.00102.00040.00007.00009,ונתת את  בין אהל מועד ובין המזבח יכול בין אהל מועד ובין המזבח יהיה הכיור נתון ,ונתת את הכיר בין אהל מועד ובין המזבח ונתת ,ref-bible
6180,ref-sifra.2.04-05.3.6-ref-sifra.2.04-05.3.20,ref-bible.0204.13.9.9-ref-bible.0204.13.10.5,27634,27707,4170,4180,ref-sifra.00002.04-05.00003.00006,ref-sifra.00002.04-05.00003.00020,612171,612241,103244,103257,ref-bible.00204.00013.00009.00009,ref-bible.00204.00013.00010.00005,עולת הצאן מנין_ודין_הוא_נאמר_הבא עולה מן הבקר ונאמר הבא עולה מן הצאן ,אמנון הוציאו כל איש מעלי ויצאו כל איש מעליו ויאמר אמנון אל תמר הביאי ,ref-bible
6181,ref-sifra.2.04-05.8.1-ref-sifra.2.04-05.8.7,ref-bible.0103.1.7.1-ref-bible.0103.1.7.7,28571,28605,4310,4316,ref-sifra.00002.04-05.00008.00001,ref-sifra.00002.04-05.00008.00007,191947,191981,33389,33395,ref-bible.00103.00001.00007.00001,ref-bible.00103.00001.00007.00007,ונתנו בני אהרן הכהן אש על המזבח ,ונתנו בני אהרן הכהן אש על המזבח ,ref-bible
6182,ref-sifra.2.04-05.8.23-ref-sifra.2.04-05.8.34,ref-bible.0103.1.7.1-ref-bible.0103.1.7.10,28685,28741,4329,4338,ref-sifra.00002.04-05.00008.00023,ref-sifra.00002.04-05.00008.00034,191947,191996,33389,33398,ref-bible.00103.00001.00007.00001,ref-bible.00103.00001.00007.00010,ונתנו בני אהרן הכהן אש על המזבח אמר_ר'_שמעון וכי עלה ,ונתנו בני אהרן הכהן אש על המזבח וערכו עצים על ,ref-bible
6183,ref-sifra.2.04-05.10.1-ref-sifra.2.04-05.10.7,ref-bible.0103.1.7.1-ref-bible.0103.1.7.7,29200,29234,4408,4414,ref-sifra.00002.04-05.00010.00001,ref-sifra.00002.04-05.00010.00007,191947,191981,33389,33395,ref-bible.00103.00001.00007.00001,ref-bible.00103.00001.00007.00007,ונתנו בני אהרן הכהן אש על המזבח ,ונתנו בני אהרן הכהן אש על המזבח ,ref-bible
6184,ref-sifra.2.04-06.2.42-ref-sifra.2.04-06.2.47,ref-bible.0103.1.12.5-ref-bible.0103.1.12.10,30146,30177,4561,4566,ref-sifra.00002.04-06.00002.00042,ref-sifra.00002.04-06.00002.00047,192346,192376,33456,33461,ref-bible.00103.00001.00012.00005,ref-bible.00103.00001.00012.00010,ראשו ואת פדרו וערך הכהן אותם ,ראשו ואת פדרו וערך הכהן אתם ,ref-bible
6185,ref-sifra.2.04-06.3.15-ref-sifra.2.04-06.3.44,ref-bible.0103.1.12.1-ref-bible.0103.1.12.7,30290,30452,4584,4605,ref-sifra.00002.04-06.00003.00015,ref-sifra.00002.04-06.00003.00044,192323,192360,33452,33458,ref-bible.00103.00001.00012.00001,ref-bible.00103.00001.00012.00007,הנתחים שאין_תלמוד_לומר את הראש ואת הפדר והלא הראש והפדר בכלל האיברים היו ואם_כן_למה_נאמר את הראש ואת הפדר אלא לפי שנאמר והפשיט את העולה ונתח אותה ,ונתח אתו לנתחיו ואת ראשו ואת פדרו ,ref-bible
6186,ref-sifra.2.04-06.3.40-ref-sifra.2.04-06.3.49,ref-bible.0103.1.6.1-ref-bible.0103.1.7.4,30424,30484,4602,4610,ref-sifra.00002.04-06.00003.00040,ref-sifra.00002.04-06.00003.00049,191912,191968,33384,33392,ref-bible.00103.00001.00006.00001,ref-bible.00103.00001.00007.00004,והפשיט את העולה ונתח אותה לנתחיה וערכו בני אהרן הכהנים ,והפשיט את העלה ונתח אתה לנתחיה ונתנו בני אהרן הכהן ,ref-bible
6187,ref-sifra.2.04-06.3.64-ref-sifra.2.04-06.4.5,ref-bible.0103.1.8.8-ref-bible.0103.1.8.15,30568,30604,4622,4629,ref-sifra.00002.04-06.00003.00064,ref-sifra.00002.04-06.00004.00005,192039,192077,33403,33410,ref-bible.00103.00001.00008.00008,ref-bible.00103.00001.00008.00015,ראשו ואת פדרו על העצים אשר על האש ,הראש ואת הפדר על העצים אשר על האש ,ref-bible
6188,ref-sifra.2.04-06.3.64-ref-sifra.2.04-06.4.5,ref-bible.0103.1.12.5-ref-bible.0103.1.12.15,30568,30604,4622,4629,ref-sifra.00002.04-06.00003.00064,ref-sifra.00002.04-06.00004.00005,192346,192398,33456,33466,ref-bible.00103.00001.00012.00005,ref-bible.00103.00001.00012.00015,ראשו ואת פדרו על העצים אשר על האש ,ראשו ואת פדרו וערך הכהן אתם על העצים אשר על האש ,ref-bible
6189,ref-sifra.2.04-06.5.3-ref-sifra.2.04-06.5.18,ref-bible.0103.1.8.11-ref-bible.0103.1.8.18,30841,30917,4675,4688,ref-sifra.00002.04-06.00005.00003,ref-sifra.00002.04-06.00005.00018,192056,192091,33406,33413,ref-bible.00103.00001.00008.00011,ref-bible.00103.00001.00008.00018,עולה יהיה מביא עציה ואשה עמה_תלמוד_לומר על העצים אשר על האש אשר על המזבח ,על העצים אשר על האש אשר על המזבח ,ref-bible
6190,ref-sifra.2.04-06.5.3-ref-sifra.2.04-06.5.18,ref-bible.0103.1.12.11-ref-bible.0103.1.12.18,30841,30917,4675,4688,ref-sifra.00002.04-06.00005.00003,ref-sifra.00002.04-06.00005.00018,192377,192412,33462,33469,ref-bible.00103.00001.00012.00011,ref-bible.00103.00001.00012.00018,עולה יהיה מביא עציה ואשה עמה_תלמוד_לומר על העצים אשר על האש אשר על המזבח ,על העצים אשר על האש אשר על המזבח ,ref-bible
6191,ref-sifra.2.04-06.5.47-ref-sifra.2.04-06.5.58,ref-bible.0103.1.12.9-ref-bible.0103.1.12.18,31048,31101,4712,4722,ref-sifra.00002.04-06.00005.00047,ref-sifra.00002.04-06.00005.00058,192367,192412,33460,33469,ref-bible.00103.00001.00012.00009,ref-bible.00103.00001.00012.00018,בהן הדיוט דבר אחר על העצים אשר על האש אשר על המזבח ,הכהן אתם על העצים אשר על האש אשר על המזבח ,ref-bible
6192,ref-sifra.2.04-06.5.51-ref-sifra.2.04-06.5.58,ref-bible.0103.1.8.11-ref-bible.0103.1.8.18,31066,31101,4715,4722,ref-sifra.00002.04-06.00005.00051,ref-sifra.00002.04-06.00005.00058,192056,192091,33406,33413,ref-bible.00103.00001.00008.00011,ref-bible.00103.00001.00008.00018,על העצים אשר על האש אשר על המזבח ,על העצים אשר על האש אשר על המזבח ,ref-bible
6193,ref-sifra.2.05-00.1.47-ref-sifra.2.05-00.2.6,ref-bible.0103.1.10.2-ref-bible.0103.1.10.9,32302,32342,4902,4909,ref-sifra.00002.05-00.00001.00047,ref-sifra.00002.05-00.00002.00006,192178,192216,33428,33435,ref-bible.00103.00001.00010.00002,ref-bible.00103.00001.00010.00009,מן ההדיוט מן הצאן מן הכשבים מן העזים ,מן הצאן קרבנו מן הכשבים או מן העזים ,ref-bible
6194,ref-sifra.2.05-07.3.7-ref-sifra.2.05-07.3.32,ref-bible.0103.1.12.1-ref-bible.0103.1.12.18,35298,35440,5338,5362,ref-sifra.00002.05-07.00003.00007,ref-sifra.00002.05-07.00003.00032,192323,192412,33452,33469,ref-bible.00103.00001.00012.00001,ref-bible.00103.00001.00012.00018,לנתחיו ולא נתחיו לנתחים ואת ראשו ואת פדרו מלמד שהראש והפדר קודמים לכל האיברים וערך הכהן  כסדרן על העצים אשר על האש אשר על המזבח ,ונתח אתו לנתחיו ואת ראשו ואת פדרו וערך הכהן אתם על העצים אשר על האש אשר על המזבח ,ref-bible
6195,ref-sifra.2.05-07.3.9-ref-sifra.2.05-07.3.14,ref-bible.0103.8.20.3-ref-bible.0103.8.20.12,35311,35344,5340,5345,ref-sifra.00002.05-07.00003.00009,ref-sifra.00002.05-07.00003.00014,205336,205391,35518,35526,ref-bible.00103.00008.00020.00003,ref-bible.00103.00008.00020.00012,נתחיו לנתחים ואת ראשו ואת פדרו ,נתח לנתחיו ויקטר משה את הראש ואת הנתחים ואת הפדר ,ref-bible
6196,ref-sifra.2.05-07.3.25-ref-sifra.2.05-07.3.32,ref-bible.0103.1.8.11-ref-bible.0103.1.8.18,35405,35440,5355,5362,ref-sifra.00002.05-07.00003.00025,ref-sifra.00002.05-07.00003.00032,192056,192091,33406,33413,ref-bible.00103.00001.00008.00011,ref-bible.00103.00001.00008.00018,על העצים אשר על האש אשר על המזבח ,על העצים אשר על האש אשר על המזבח ,ref-bible
6197,ref-sifra.2.06-00.3.8-ref-sifra.2.06-00.3.12,ref-bible.0103.22.19.2-ref-bible.0103.22.19.6,37029,37059,5585,5589,ref-sifra.00002.06-00.00003.00008,ref-sifra.00002.06-00.00003.00012,237648,237678,41029,41033,ref-bible.00103.00022.00019.00002,ref-bible.00103.00022.00019.00006,תמים זכר בבקר בכשבים ובעזים ,תמים זכר בבקר בכשבים ובעזים ,ref-bible
